iter	RMSE
0	11.70695489
1	11.67582501
2	11.64408301
3	11.61817158
4	11.59377878
5	11.56978354
6	11.55040302
7	11.53301253
8	11.51631492
9	11.4983741
10	11.48459822
11	11.47250522
12	11.46251683
13	11.45089247
14	11.4401592
15	11.43219448
16	11.42394245
17	11.41242185
18	11.40472635
19	11.39701793
20	11.38870439
21	11.38229669
22	11.37494642
23	11.36850574
24	11.36106897
25	11.35631409
26	11.34821992
27	11.34192582
28	11.33351701
29	11.3249875
30	11.31899679
31	11.30918993
32	11.30101543
33	11.29494162
34	11.28728145
35	11.27857821
36	11.27073963
37	11.26299497
38	11.25654293
39	11.2511857
40	11.24741573
41	11.24149902
42	11.23679099
43	11.23036663
44	11.22678744
45	11.21759303
46	11.21165569
47	11.20481018
48	11.19794357
49	11.19335601
50	11.1892727
51	11.18485555
52	11.17683727
53	11.17478966
54	11.17065648
55	11.16687147
56	11.16073455
57	11.15318909
58	11.14481779
59	11.14032005
60	11.13608477
61	11.13045088
62	11.12271617
63	11.1156791
64	11.11065201
65	11.1031141
66	11.09793225
67	11.09324689
68	11.08701678
69	11.08370818
70	11.07238901
71	11.06644636
72	11.05775028
73	11.05074222
74	11.04380509
75	11.03710147
76	11.03141455
77	11.02682304
78	11.02327987
79	11.01649793
80	11.01237709
81	11.00430921
82	10.99834095
83	10.99606684
84	10.99154243
85	10.98445028
86	10.97764246
87	10.97179543
88	10.9676924
89	10.9620262
90	10.95554045
91	10.94873493
92	10.94153824
93	10.93747511
94	10.93219894
95	10.92489229
96	10.92043011
97	10.91542908
98	10.91220732
99	10.90669455
100	10.9002391
101	10.8941679
102	10.88841168
103	10.88248332
104	10.87638664
105	10.87098326
106	10.86474254
107	10.8605236
108	10.85574986
109	10.8496938
110	10.84464264
111	10.83832472
112	10.83225906
113	10.82537331
114	10.81922434
115	10.81514013
116	10.81086965
117	10.8053182
118	10.79796796
119	10.79232634
120	10.78635631
121	10.78145803
122	10.77384183
123	10.76883679
124	10.76374564
125	10.75891172
126	10.75317925
127	10.74741062
128	10.73955356
129	10.73600304
130	10.72930243
131	10.72289901
132	10.71871315
133	10.71524502
134	10.70982756
135	10.70542167
136	10.69974351
137	10.69193282
138	10.68789366
139	10.68334821
140	10.67877757
141	10.67350126
142	10.6684963
