iter	Passed	Remaining
0	145	58169
1	148	29471
2	150	19891
3	152	15114
4	155	12309
5	158	10382
6	160	9008
7	162	7980
8	165	7176
9	167	6535
10	170	6022
11	173	5597
12	175	5235
13	178	4923
14	181	4662
15	184	4423
16	188	4239
17	190	4050
18	193	3887
19	196	3739
20	199	3603
21	203	3493
22	206	3380
23	208	3273
24	211	3174
25	214	3081
26	217	3000
27	220	2923
28	222	2850
29	225	2780
30	228	2714
31	230	2653
32	233	2599
33	236	2546
34	239	2494
35	241	2443
36	244	2395
37	246	2352
38	249	2313
39	252	2273
40	255	2233
41	257	2196
42	260	2160
43	263	2128
44	265	2097
45	268	2066
46	271	2036
47	273	2007
48	276	1978
49	279	1954
50	281	1929
51	284	1903
52	286	1878
53	289	1854
54	291	1830
55	294	1811
56	297	1791
57	300	1770
58	302	1750
59	305	1733
60	308	1714
61	311	1699
62	314	1682
63	317	1666
64	320	1650
65	322	1633
66	325	1617
67	328	1602
68	330	1587
69	333	1573
70	336	1558
71	338	1543
72	341	1530
73	344	1516
74	346	1502
75	349	1488
76	351	1475
77	354	1462
78	357	1451
79	360	1440
80	362	1428
81	365	1417
82	368	1405
83	370	1394
84	373	1384
85	376	1373
86	378	1362
87	381	1351
88	383	1341
89	386	1330
90	389	1321
91	392	1312
92	394	1302
93	397	1292
94	399	1282
95	402	1273
96	404	1265
97	407	1256
98	410	1246
99	412	1238
100	415	1229
101	417	1220
102	420	1211
103	423	1204
104	425	1195
105	428	1187
106	430	1179
107	433	1171
108	435	1163
109	438	1156
110	441	1149
111	443	1141
112	446	1134
113	449	1126
114	451	1119
115	454	1113
116	457	1106
117	460	1099
118	462	1092
119	465	1085
120	467	1078
121	470	1071
122	472	1064
123	475	1058
124	478	1051
125	480	1045
126	483	1038
127	486	1032
128	488	1027
129	491	1020
130	494	1014
131	496	1008
132	499	1002
133	502	996
134	504	990
135	507	984
136	509	978
137	512	972
138	514	966
139	517	961
140	520	956
141	522	949
142	525	944
143	527	938
144	530	932
145	532	927
146	535	921
147	538	916
148	540	910
149	543	905
150	545	899
151	549	896
152	551	890
153	554	885
154	557	880
155	560	875
156	563	871
157	565	866
158	568	861
159	571	856
160	573	851
161	576	846
162	579	842
163	582	837
164	585	833
165	588	828
166	590	823
167	593	819
168	595	814
169	598	809
170	600	804
171	603	799
172	605	795
173	608	790
174	611	786
175	613	781
176	616	776
177	619	772
178	621	767
179	624	763
180	627	758
181	629	754
182	632	749
183	634	745
184	637	740
185	639	736
186	642	732
187	645	727
188	648	723
189	650	719
190	653	714
191	655	710
192	658	706
193	661	702
194	664	698
195	667	694
196	669	690
197	672	685
198	675	682
199	678	678
200	681	674
201	684	670
202	686	666
203	690	663
204	692	659
205	695	655
206	698	651
207	701	647
208	703	643
209	706	639
210	709	635
211	712	632
212	715	628
213	718	624
214	721	620
215	724	617
216	727	613
217	730	609
218	732	605
219	735	601
220	738	597
221	740	593
222	743	590
223	745	585
224	748	581
225	750	577
226	753	574
227	756	570
228	758	566
229	761	562
230	763	558
231	766	554
232	768	550
233	771	547
234	774	543
235	776	539
236	779	535
237	781	531
238	784	528
239	786	524
240	789	520
241	792	517
242	794	513
243	797	509
244	800	506
245	803	502
246	805	499
247	808	495
248	811	491
249	813	488
250	816	484
251	819	481
252	821	477
253	824	473
254	826	470
255	829	466
256	832	463
257	834	459
258	837	456
259	840	452
260	842	448
261	844	445
262	847	441
263	850	438
264	853	434
265	856	431
266	858	427
267	861	424
268	864	420
269	867	417
270	869	414
271	872	410
272	874	407
273	877	403
274	880	400
275	883	396
276	886	393
277	888	389
278	891	386
279	893	382
280	896	379
281	899	376
282	901	372
283	904	369
284	907	366
285	910	363
286	913	359
287	916	356
288	919	353
289	921	349
290	924	346
291	927	342
292	930	339
293	933	336
294	935	332
295	938	329
296	940	326
297	943	322
298	946	319
299	949	316
300	951	313
301	954	309
302	957	306
303	960	303
304	963	300
305	965	296
306	968	293
307	970	290
308	973	286
309	977	283
310	980	280
311	983	277
312	985	274
313	988	270
314	991	267
315	995	264
316	998	261
317	1000	258
318	1003	254
319	1007	251
320	1010	248
321	1012	245
322	1015	242
323	1018	238
324	1020	235
325	1024	232
326	1026	229
327	1029	226
328	1032	222
329	1034	219
330	1037	216
331	1039	212
332	1042	209
333	1044	206
334	1047	203
335	1049	199
336	1052	196
337	1055	193
338	1057	190
339	1060	187
340	1063	183
341	1065	180
342	1068	177
343	1071	174
344	1074	171
345	1077	168
346	1080	164
347	1083	161
348	1085	158
349	1088	155
350	1091	152
351	1093	149
352	1096	146
353	1099	142
354	1102	139
355	1105	136
356	1108	133
357	1110	130
358	1113	127
359	1115	123
360	1118	120
361	1121	117
362	1123	114
363	1126	111
364	1128	108
365	1131	105
366	1133	101
367	1137	98
368	1140	95
369	1143	92
370	1145	89
371	1148	86
372	1151	83
373	1154	80
374	1156	77
375	1159	74
376	1162	70
377	1164	67
378	1167	64
379	1170	61
380	1172	58
381	1175	55
382	1177	52
383	1180	49
384	1183	46
385	1185	43
386	1188	39
387	1190	36
388	1193	33
389	1195	30
390	1198	27
391	1201	24
392	1203	21
393	1206	18
394	1209	15
395	1212	12
396	1214	9
397	1217	6
398	1219	3
399	1222	0
